"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AE1","1","Antenna_Loop","","","","RF_Antenna:Texas_SWRA117D_2.4GHz_Right","~"
"BOOT1,EN1,SW1","3","SKRKAGE020","","","","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","~"
"C1,C4,C7,C10,C15","5","1uF","","","","10uF:C0402","~"
"C2,C6,C8,C9,C12,C14,C18,C20","8","100nF","","","","10uF:C0402","~"
"C3,C5,C11,C13","4","15pF","","","","10uF:C0402","~"
"C16","1","10uF","","","","10uF:C0402","~"
"C17","1","22uF","","","","10uF:C0402","~"
"C19","1","4.7uF","","","","10uF:C0402","~"
"Card1","1","DM3D-SF","","","","DM3D:TF-SMD_DM3D-SF",""
"D1","1","LTST-C150RKT","","","","LED_SMD:LED_1206_3216Metric","~"
"H1","1","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_4mm","~"
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2,J3","2","Conn_01x01_Pin","","","","TestPoint:TestPoint_Pad_2.5x2.5mm","~"
"J4","1","FH12-24S-0.5SH_55_","","","","Hirose FH12:Hirose FH12",""
"L1","1","L","","","","Inductor_SMD:L_01005_0402Metric","~"
"L2","1","10uH","","","","Inductor_SMD:L_01005_0402Metric","~"
"R1","1","RC0402FR-13220RL (220Ω)","","","","0402:R0402","~"
"R2,R3,R4,R7,R8","5","5.1kΩ","","","","0402:R0402","~"
"R5,R6,R10","3","RC0402FR-075K1L (5.1kΩ)","","","","0402:R0402","~"
"R9","1","220Ω","","","","0402:R0402","~"
"R12","1","390kΩ","","","","0402:R0402","~"
"R13","1","1MΩ","","","","0402:R0402","~"
"U2","1","TP4056-42-ESOP8","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf"
"U3","1","ESP32-C3","","","","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm","https://www.espressif.com/sites/default/files/documentation/esp32-c3_datasheet_en.pdf"
"U4","1","W25Q16JVSS","","","","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","https://www.winbond.com/hq/support/documentation/levelOne.jsp?__locale=en&DocNo=DA00-W25Q16JV.1"
"U5","1","AP3012","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP3012.pdf"
"U6","1","ADXL363","","","","Sensor_Motion:Analog_LGA-16_3.25x3mm_P0.5mm_LayoutBorder3x5y","https://www.analog.com/media/en/technical-documentation/data-sheets/ADXL363.pdf"
"U7","1","AP2112K-3.3","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP2112.pdf"
"Y1","1","Crystal","","","","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","~"
